City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Boyuibe,BO,2021-09-23 01:17:13,-20.4167,-63.2833,67.53,57,100,0.81,overcast clouds
248,Pisco,PE,2021-09-23 01:17:13,-13.7,-76.2167,61.02,82,52,17.27,broken clouds
249,Kavaratti,IN,2021-09-23 01:17:13,10.5669,72.642,82.15,76,100,17.05,overcast clouds
250,Berezovyy,RU,2021-09-23 01:17:14,51.6667,135.7,53.8,46,2,4.7,clear sky
251,Clyde River,CA,2021-09-23 01:17:14,70.4692,-68.5914,30.02,90,100,14.92,light snow
252,Lake Charles,US,2021-09-23 01:15:54,30.2131,-93.2044,71.6,57,1,4.61,clear sky
253,Neryungri,RU,2021-09-23 01:17:15,56.6709,124.6491,50.72,70,100,4.12,overcast clouds
254,Nemuro,JP,2021-09-23 01:17:15,43.3236,145.575,73.83,89,82,11.79,broken clouds
255,Honningsvag,NO,2021-09-23 01:17:16,70.9821,25.9704,47.37,84,100,22.86,light rain
256,Charters Towers,AU,2021-09-23 01:17:16,-20.1,146.2667,73.26,32,2,15.93,clear sky
257,Westport,US,2021-09-23 01:17:16,41.1415,-73.3579,76.24,90,90,3.0,overcast clouds
258,Mangaldai,IN,2021-09-23 01:17:17,26.4333,92.0333,80.51,90,18,4.88,few clouds
